Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,156,China,CHN,251,France,FRA,,,,,,,,0406,Cheese and curd,8,Weight in kilograms,,,3150301,,3150301,,22334095,,,0
H5,2017,2017,2017,4,0,1,Import,156,China,CHN,842,USA,USA,,,,,,,,0406,Cheese and curd,8,Weight in kilograms,,,12904917,,12904917,,60234683,,,0
H5,2017,2017,2017,4,0,1,Import,251,France,FRA,156,China,CHN,,,,,,,,0406,Cheese and curd,8,Weight in kilograms,,,583,,583,,4246,,,0
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,156,China,CHN,,,,,,,,0406,Cheese and curd,8,Weight in kilograms,,,3242624,,3242624,,21934718,,,0
H5,2017,2017,2017,4,0,1,Import,251,France,FRA,251,France,FRA,,,,,,,,0406,Cheese and curd,8,Weight in kilograms,,,3280701,,3280701,,19026796,,,0
H5,2017,2017,2017,4,0,4,Re-Import,251,France,FRA,251,France,FRA,,,,,,,,0406,Cheese and curd,8,Weight in kilograms,,,3280701,,3280701,,19026796,,,0
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,710,South Africa,ZAF,,,,,,,,0406,Cheese and curd,8,Weight in kilograms,,,795522,,795522,,5300988,,,0
H5,2017,2017,2017,4,0,1,Import,251,France,FRA,842,USA,USA,,,,,,,,0406,Cheese and curd,8,Weight in kilograms,,,91807,,91807,,552144,,,0
H5,2017,2017,2017,4,0,2,Export,251,France,FRA,842,USA,USA,,,,,,,,0406,Cheese and curd,8,Weight in kilograms,,,23036069,,23036069,,179327056,,,0
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,251,France,FRA,,,,,,,,0406,Cheese and curd,8,Weight in kilograms,,,860355,,860355,,5719406,,,0
H5,2017,2017,2017,4,0,1,Import,710,South Africa,ZAF,842,USA,USA,,,,,,,,0406,Cheese and curd,8,Weight in kilograms,,,59310,,59310,,286855,,,0
