origin,dest,count,,,
191,191,10944,,1483868,4318898
785,785,7308,,,0.3435756066
307,307,5298,,,
303,303,4795,,,
111,111,4742,,,
248,248,4108,,,
191,248,2426,,,
404,404,2396,,,
248,191,2236,,,
307,191,2189,,,
307,404,2175,,,
191,303,2168,,,
303,191,1957,,,
191,307,1891,,,
789,789,1891,,,
213,213,1818,,,
350,350,1801,,,
404,307,1795,,,
191,300,1790,,,
671,729,1606,,,
786,785,1573,,,
307,303,1569,,,
191,111,1470,,,
404,191,1455,,,
789,785,1390,,,
111,191,1366,,,
300,191,1363,,,
300,300,1362,,,
303,111,1334,,,
350,191,1331,,,
785,786,1306,,,
111,248,1278,,,
785,789,1275,,,
303,307,1260,,,
248,111,1220,,,
729,671,1196,,,
191,350,1172,,,
315,315,1120,,,
154,71,1103,,,
785,783,1096,,,
248,307,1094,,,
350,307,1081,,,
191,404,1076,,,
303,248,1064,,,
787,787,1052,,,
14,436,1019,,,
436,14,1006,,,
154,48,1001,,,
111,303,988,,,
707,635,952,,,
784,784,950,,,
248,303,928,,,
433,14,910,,,
101,154,908,,,
14,71,904,,,
46,458,887,,,
14,433,882,,,
154,101,872,,,
783,785,862,,,
428,356,859,,,
225,661,855,,,
783,790,844,,,
14,109,840,,,
675,735,835,,,
356,428,832,,,
717,553,826,,,
183,74,815,,,
404,303,812,,,
553,717,811,,,
71,154,809,,,
644,707,809,,,
154,579,805,,,
57,14,805,,,
154,136,802,,,
762,213,799,,,
564,130,792,,,
613,647,792,,,
213,191,790,,,
14,159,788,,,
213,248,787,,,
786,786,779,,,
74,183,772,,,
307,350,768,,,
132,251,763,,,
46,488,751,,,
685,621,742,,,
300,307,736,,,
790,783,725,,,
248,300,721,,,
635,707,721,,,
579,154,720,,,
707,644,720,,,
613,687,720,,,
350,303,718,,,
213,307,714,,,
109,14,714,,,
313,14,713,,,
307,248,713,,,
687,613,704,,,
661,225,704,,,
787,785,704,,,
307,300,702,,,
114,114,700,,,
732,298,694,,,
130,564,692,,,
154,55,684,,,
136,154,675,,,
458,46,674,,,
12,14,674,,,
307,111,672,,,
303,300,672,,,
789,786,668,,,
111,307,667,,,
154,703,661,,,
784,786,654,,,
300,248,654,,,
194,193,653,,,
154,217,651,,,
350,111,650,,,
762,762,650,,,
154,427,649,,,
159,14,647,,,
300,111,640,,,
492,499,635,,,
107,73,630,,,
39,251,630,,,
772,676,629,,,
14,57,627,,,
55,154,621,,,
785,787,614,,,
788,785,612,,,
253,41,612,,,
111,300,610,,,
154,340,609,,,
14,64,609,,,
193,194,607,,,
138,138,603,,,
701,638,602,,,
735,675,600,,,
88,14,600,,,
499,492,600,,,
154,199,600,,,
46,453,599,,,
154,66,597,,,
154,104,595,,,
68,14,595,,,
379,225,592,,,
350,404,592,,,
772,624,590,,,
154,587,587,,,
154,546,586,,,
225,379,586,,,
303,350,584,,,
14,66,581,,,
14,68,581,,,
227,12,581,,,
574,73,579,,,
374,66,576,,,
636,671,576,,,
647,613,574,,,
71,14,573,,,
621,685,572,,,
48,154,569,,,
251,132,568,,,
111,350,565,,,
707,696,565,,,
676,772,564,,,
303,404,563,,,
350,248,563,,,
786,784,562,,,
222,191,561,,,
199,154,561,,,
624,772,558,,,
680,638,556,,,
119,574,554,,,
658,658,554,,,
785,788,553,,,
251,154,551,,,
300,303,550,,,
215,154,550,,,
213,762,547,,,
215,66,546,,,
104,154,546,,,
14,12,546,,,
126,154,543,,,
546,154,541,,,
206,206,540,,,
191,213,538,,,
622,663,538,,,
195,194,535,,,
541,541,532,,,
217,732,530,,,
356,573,528,,,
552,202,527,,,
303,138,522,,,
668,668,521,,,
786,789,520,,,
756,756,517,,,
663,622,516,,,
132,132,516,,,
404,111,515,,,
452,458,514,,,
112,154,513,,,
335,14,511,,,
579,374,510,,,
265,428,510,,,
248,350,509,,,
786,790,509,,,
154,263,508,,,
71,55,507,,,
229,229,506,,,
692,692,505,,,
38,157,505,,,
14,313,504,,,
154,509,504,,,
14,335,504,,,
229,130,504,,,
14,81,501,,,
217,194,498,,,
191,762,497,,,
638,701,497,,,
374,193,496,,,
737,723,496,,,
14,24,496,,,
230,194,494,,,
41,154,494,,,
194,197,490,,,
737,769,490,,,
14,357,489,,,
587,154,487,,,
788,784,486,,,
817,74,485,,,
213,341,480,,,
459,459,480,,,
154,41,480,,,
217,154,479,,,
154,126,479,,,
14,88,478,,,
596,636,478,,,
357,14,476,,,
160,160,476,,,
55,71,475,,,
485,485,472,,,
225,758,472,,,
467,499,469,,,
638,680,467,,,
213,300,466,,,
177,228,466,,,
17,14,465,,,
64,14,465,,,
607,644,464,,,
213,303,462,,,
481,481,462,,,
248,404,461,,,
66,154,459,,,
710,710,459,,,
453,46,457,,,
138,248,457,,,
671,636,457,,,
24,14,455,,,
154,215,454,,,
671,727,454,,,
562,14,453,,,
547,551,453,,,
386,14,453,,,
14,67,452,,,
761,707,452,,,
498,470,452,,,
682,682,451,,,
144,270,451,,,
144,272,448,,,
73,107,448,,,
157,38,447,,,
298,732,447,,,
203,154,445,,,
458,452,445,,,
393,154,444,,,
427,154,443,,,
202,552,443,,,
644,682,442,,,
732,217,442,,,
404,350,441,,,
41,393,441,,,
553,132,440,,,
599,707,440,,,
488,46,439,,,
405,589,439,,,
73,132,439,,,
271,271,439,,,
340,154,438,,,
191,138,437,,,
374,101,437,,,
14,15,435,,,
270,144,434,,,
573,405,432,,,
307,392,431,,,
154,9,429,,,
307,428,429,,,
81,14,429,,,
22,14,429,,,
361,48,426,,,
428,307,426,,,
613,634,425,,,
405,573,425,,,
141,14,425,,,
574,119,425,,,
446,553,424,,,
193,374,422,,,
94,194,420,,,
470,498,419,,,
489,552,419,,,
194,801,417,,,
15,14,415,,,
194,195,415,,,
117,270,415,,,
77,433,415,,,
74,817,414,,,
41,203,414,,,
620,638,413,,,
553,326,413,,,
374,546,413,,,
111,404,412,,,
404,248,412,,,
509,154,411,,,
691,723,411,,,
213,350,411,,,
268,558,410,,,
341,213,410,,,
491,282,409,,,
551,547,409,,,
66,14,409,,,
14,11,407,,,
154,251,407,,,
769,737,407,,,
374,41,407,,,
154,54,406,,,
46,217,405,,,
303,762,405,,,
11,14,405,,,
732,251,404,,,
758,225,404,,,
553,553,404,,,
712,492,404,,,
14,364,404,,,
730,644,403,,,
589,405,402,,,
194,217,402,,,
788,788,402,,,
14,762,401,,,
737,738,399,,,
696,392,398,,,
18,14,398,,,
326,553,397,,,
773,154,397,,,
727,671,397,,,
553,446,396,,,
154,112,396,,,
374,9,396,,,
520,478,396,,,
552,489,395,,,
251,399,393,,,
130,130,393,,,
252,252,392,,,
248,138,392,,,
573,356,391,,,
12,227,391,,,
315,271,391,,,
203,41,390,,,
108,14,390,,,
804,25,390,,,
421,66,390,,,
203,14,389,,,
42,73,389,,,
197,194,388,,,
333,277,388,,,
541,213,386,,,
394,760,386,,,
167,330,386,,,
154,67,386,,,
449,202,385,,,
374,48,385,,,
374,55,384,,,
9,374,384,,,
315,343,383,,,
800,800,382,,,
321,706,382,,,
603,270,382,,,
117,272,381,,,
574,95,380,,,
613,666,380,,,
364,14,379,,,
787,786,379,,,
14,372,379,,,
521,521,378,,,
558,190,378,,,
14,108,378,,,
154,193,378,,,
300,404,378,,,
199,48,377,,,
138,191,377,,,
392,405,376,,,
206,491,376,,,
195,154,375,,,
301,14,375,,,
154,203,375,,,
157,155,375,,,
510,469,373,,,
751,154,373,,,
541,191,372,,,
471,498,371,,,
343,343,371,,,
61,197,370,,,
428,265,369,,,
784,788,369,,,
374,71,368,,,
553,39,368,,,
225,29,367,,,
95,41,367,,,
478,520,367,,,
86,270,366,,,
14,116,366,,,
696,707,365,,,
345,658,365,,,
270,117,364,,,
217,374,363,,,
492,712,363,,,
260,14,363,,,
14,17,363,,,
154,331,363,,,
85,732,363,,,
732,215,363,,,
512,578,362,,,
719,719,362,,,
499,467,362,,,
25,66,361,,,
132,73,361,,,
707,761,361,,,
636,596,361,,,
12,154,361,,,
553,749,360,,,
157,142,360,,,
723,737,360,,,
18,154,360,,,
14,141,359,,,
362,34,359,,,
462,34,359,,,
809,154,358,,,
251,39,358,,,
790,786,358,,,
46,552,358,,,
692,553,358,,,
331,154,357,,,
104,374,356,,,
321,269,356,,,
561,478,355,,,
737,618,355,,,
785,721,354,,,
723,691,354,,,
623,735,354,,,
682,644,354,,,
117,435,353,,,
307,213,352,,,
492,492,352,,,
191,428,351,,,
785,784,351,,,
55,374,351,,,
666,613,351,,,
631,74,349,,,
101,374,349,,,
41,246,348,,,
132,553,348,,,
213,233,348,,,
691,769,348,,,
505,492,346,,,
321,278,345,,,
55,203,345,,,
190,558,345,,,
568,397,344,,,
213,111,343,,,
784,785,342,,,
421,703,342,,,
638,620,342,,,
14,22,342,,,
768,768,342,,,
749,553,341,,,
671,597,341,,,
634,613,341,,,
682,607,341,,,
