ori,dest,flow
"70","25",796.22956536711
"68","67",3002.46196190305
"67","68",691.888778421355
"57","67",508.28261619037
"57","54",2761.36735969013
"88","54",1657.23429273084
"54","57",1702.35381194182
"38","73",107.897922750587
"83","06",1310.26963981356
"73","38",1157.86506341183
"74","73",969.6851182475
"73","74",236.30200923634
"39","25",150.703137460195
"90","25",263.826748208359
"74","38",354.46282434431
"73","69",354.858076392059
"74","69",857.085371416498
"01","69",4976.39854528226
"71","69",109.622645747927
"55","54",173.038382940094
"71","21",905.123707210922
"30","84",920.327998101456
"90","84",109.999162804897
"07","26",982.345891462403
"26","38",273.410236088934
"26","69",650.169658866854
"69","38",961.86032912664
"38","69",5791.46804048283
"83","13",3561.29924878485
"13","06",360.001023514138
"06","13",153.189154998856
"83","71",150.7505955021
"04","13",446.170034412271
"84","13",1687.77468101263
"13","84",1602.64696714501
"67","75",117.638012947843
"77","93",4112.09408275183
"02","51",738.577644346555
"08","51",654.078299731437
"75","51",121.296178442592
"51","75",120.942038641537
"02","59",114.439175112006
"42","69",2324.90582425218
"69","42",1337.47454652554
"63","03",115.162702372743
"94","77",1996.13319475409
"03","63",570.763374808359
"75","67",146.419819032606
"77","94",4806.95376035976
"66","34",149.637168815275
"34","30",610.228298800249
"83","77",447.706103054249
"13","30",110.627055467818
"13","34",402.616786060256
"30","34",3134.11802236965
"43","42",585.185507526275
"62","59",9845.03444898424
"93","94",4854.80879135387
"94","93",3997.43798042105
"75","93",8135.14310413624
"75","59",1351.34966958467
"59","75",538.665715259046
"59","62",2999.38043757211
"02","80",114.682943034562
"77","92",1932.44161134244
"75","77",1340.87266912828
"77","75",16934.0816485903
"93","77",2402.87828770499
"93","75",30640.0872274241
"75","94",7014.25487593378
"93","92",4555.10667356
"92","59",364.288812330167
"92","95",1607.14048577882
"75","95",2077.99750850039
"93","95",864.308334839924
"60","75",2233.08734668155
"60","95",703.796988117589
"60","80",2674.59286694727
"94","92",5193.97645044254
"92","94",3412.40385928762
"92","75",37256.3922807347
"95","94",825.562771582529
"94","62",133.191300072444
"92","93",2888.92250094236
"95","93",4764.45315879875
"75","91",1962.36877128236
"75","92",17437.8815123886
"92","91",2578.71995612552
"94","75",34987.8545604979
"91","93",1157.69530872536
"94","91",1637.37050415975
"91","92",4870.94727575884
"95","75",17439.6921500168
"92","76",123.447687087365
"95","92",6455.05091858208
"76","75",461.966353678655
"75","76",390.935184490221
"50","14",1586.99095307552
"27","76",3731.81205125831
"92","78",3341.47323837807
"75","78",2436.59574240136
"14","75",115.594063956217
"78","95",3777.5453267657
"27","75",272.606979893219
"78","59",118.806364902657
"95","78",820.953088654318
"78","75",19988.0593936283
"91","78",1224.62702620748
"61","14",562.376994040042
"78","92",10226.7836952665
"78","94",708.046581367873
"94","78",282.303161314131
"78","93",1043.23520858689
"45","75",281.935204442968
"94","63",151.141398946611
"92","69",582.328435835029
"75","69",1108.91944299787
"69","75",820.188442427096
"91","77",1089.61320987077
"91","94",4178.7073922164
"77","91",1721.02593832137
"11","34",265.859919988424
"13","75",476.757959592898
"75","13",129.394743838656
"06","75",248.802688392287
"75","34",226.606288813364
"83","75",173.522641912747
"75","38",488.263001399144
"79","86",375.887040470857
"41","37",250.318792722676
"28","78",306.704301497171
"28","75",446.254403035092
"91","75",17369.835940906
"78","91",1428.63138380354
"51","49",128.133783714783
"75","31",110.857946817318
"82","31",1430.99627712366
"47","33",130.175287544445
"24","33",361.125473193678
"38","37",120
"87","86",141.282467388545
"19","87",109.904877217291
"09","31",187.593902565392
"94","65",219.530143238614
"81","31",1699.39040787249
"32","31",228.50190041005
"31","75",125.906224340548
"11","31",157.838804965567
"31","81",120.934393000914
"44","35",821.947590606346
"75","35",250.130973966953
"29","56",252.77873422504
"56","35",1356.75889400998
"29","35",322.489409066242
"22","35",1590.65320760292
"72","49",234.152212110813
"17","86",251.486032327558
"85","49",119.365048778497
"44","49",810.339020336161
"85","44",1417.82499978353
"49","44",1292.07637160055
"44","75",163.776843134243
"75","44",434.871999509208
"40","64",1152.45773632529
"33","31",114.229313265365
"64","33",906.132940222758
"35","31",305.89407153989
"33","75",338.26616298408
"40","33",559.510896884211
"75","33",494.271267591231
